,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ritasi ke - 1,,,,,,,,,,,,,,,Ritasi ke - 2,,,,,,,,,,,,,,,Ritasi ke - 3 (Pada Bus X.03),,,,,,,,,Ritasi ke - 4,,,,,,,,,,Ritasi ke - 5,,,,,,,,,Ritasi ke - 6,,,,,,,,,Ritasi ke - 7,,,,,,,,,Ritasi ke - 8,,,,,,
No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak
,TERMINAL JAKABARING,6:50:00 AM,6:50:00 AM,,,,,,,,,,,,,TERMINAL JAKABARING,8:24:00 AM,8:24:00 AM,,,,2.92,,,,,,,,,TERMINAL JAKABARING,,,,,,,,,TERMINAL JAKABARING,,,,,,,,,,TERMINAL JAKABARING,,,,,,,,,TERMINAL JAKABARING,,,,,,,,,TERMINAL JAKABARING,,,,,,,,,TERMINAL JAKABARING,,,,,,
1,PLN A,6:58:00 AM,,23.5,45.7,12.3,2.86,6:57:18 AM,117.30,6:53:45 AM,113.75,7:03:57 AM,123.95,,1,PLN A,8:29:52 AM,,29.4,50.8,15.2,0.81,8:25:39 AM,205.65,8:24:57 AM,204.96,8:27:12 AM,207.20,,1,PLN A,,,,,,,,1,PLN A,,,,,,,,,1,PLN A,,,,,,,,1,PLN A,,,,,,,,1,PLN A,,,,,,,,1,PLN A,,,,,,
2,BANK SUMSEL BABEL B,6:59:59 AM,,37.5,45.4,29.6,1,6:59:36 AM,119.60,6:59:19 AM,119.32,7:00:02 AM,120.03,,2,BANK SUMSEL BABEL B,8:31:27 AM,,41.1,46.8,32.4,0.37,8:30:24 AM,210.41,8:30:20 AM,210.34,8:30:33 AM,210.55,,2,BANK SUMSEL BABEL B,,,,,,,,2,BANK SUMSEL BABEL B,,,,,,,,,2,BANK SUMSEL BABEL B,,,,,,,,2,BANK SUMSEL BABEL B,,,,,,,,2,BANK SUMSEL BABEL B,,,,,,,,2,BANK SUMSEL BABEL B,,,,,,
3,GOR JAKABARING,7:00:55 AM,,67.8,86.4,19.2,0.6,7:00:31 AM,120.51,7:00:24 AM,120.40,7:01:52 AM,121.86,,3,GOR JAKABARING,8:32:20 AM,,37.7,42.5,27.3,0.33,8:31:59 AM,211.98,8:31:55 AM,211.92,8:32:11 AM,212.18,,3,GOR JAKABARING,,,,,,,,3,GOR JAKABARING,,,,,,,,,3,GOR JAKABARING,,,,,,,,3,GOR JAKABARING,,,,,,,,3,GOR JAKABARING,,,,,,,,3,GOR JAKABARING,,,,,,
4,STASIUN JAKABARING,7:01:45 AM,,30.6,39.2,24.9,0.34,7:01:35 AM,121.58,7:01:26 AM,121.44,7:01:44 AM,121.74,,4,STASIUN JAKABARING,8:33:09 AM,,35.4,40,26.4,1.08,8:34:10 AM,214.16,8:33:57 AM,213.95,8:34:47 AM,214.79,,4,STASIUN JAKABARING,,,,,,,,4,STASIUN JAKABARING,,,,,,,,,4,STASIUN JAKABARING,,,,,,,,4,STASIUN JAKABARING,,,,,,,,4,STASIUN JAKABARING,,,,,,,,4,STASIUN JAKABARING,,,,,,
5,DJKA,7:03:31 AM,,47.7,86.8,39.3,1.14,7:03:11 AM,123.18,7:02:32 AM,122.54,7:03:29 AM,123.49,,5,DJKA,8:34:50 AM,,41.2,61.9,32.7,0.97,8:34:34 AM,214.56,8:34:05 AM,214.09,8:34:56 AM,214.93,,5,DJKA,,,,,,,,5,DJKA,,,,,,,,,5,DJKA,,,,,,,,5,DJKA,,,,,,,,5,DJKA,,,,,,,,5,DJKA,,,,,,
6,DEPO DJKA,7:05:45 AM,,29.3,56.2,22.4,1.01,7:05:35 AM,125.58,7:04:36 AM,124.59,7:06:13 AM,126.22,,6,DEPO DJKA,8:37:07 AM,,28.5,52.2,12.5,0.38,8:35:38 AM,215.63,8:35:16 AM,215.27,8:36:39 AM,216.66,,6,DEPO DJKA,,,,,,,,6,DEPO DJKA,,,,,,,,,6,DEPO DJKA,,,,,,,,6,DEPO DJKA,,,,,,,,6,DEPO DJKA,,,,,,,,6,DEPO DJKA,,,,,,
7,SIMPANG TEGAL BINANGUN,7:06:59 AM,,19.7,40.7,5.7,0.33,7:06:45 AM,126.76,7:06:14 AM,126.24,7:09:13 AM,129.22,,7,SIMPANG TEGAL BINANGUN,8:39:11 AM,,27.3,39.6,8.9,1.83,8:41:08 AM,221.14,8:39:53 AM,219.89,8:49:27 AM,229.45,,7,SIMPANG TEGAL BINANGUN,,,,,,,,7,SIMPANG TEGAL BINANGUN,,,,,,,,,7,SIMPANG TEGAL BINANGUN,,,,,,,,7,SIMPANG TEGAL BINANGUN,,,,,,,,7,SIMPANG TEGAL BINANGUN,,,,,,,,7,SIMPANG TEGAL BINANGUN,,,,,,
