,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ritasi ke - 1,,,,,,,,,,,,,,,Ritasi ke - 2,,,,,,,,,,,,,,,Ritasi ke - 3,,,,,,,,,,,,,,,Ritasi ke - 4,,,,,,,,,,,,,,,Ritasi ke - 5,,,,,,,,,,,,,,,Ritasi ke - 6,,,,,,,,,,,,,,,Ritasi ke - 7,,,,,,,,,,,,,,,Ritasi ke - 8,,,,,,,,,,,,
No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min
,TERMINAL JAKABARING,6:03:30 AM,6:03:30 AM,,,,,,,,,,,,,TERMINAL JAKABARING,7:37:42 AM,7:37:42 AM,,,,,,,,,,,,,TERMINAL JAKABARING,9:09:00 AM,9:09:00 AM,,,,,,,,,,,,,TERMINAL JAKABARING,10:34:57 AM,10:34:57 AM,,,,,,,,,,,,,TERMINAL JAKABARING,12:13:00 PM,12:13:00 PM,,,14.3,,,,,,,,,,TERMINAL JAKABARING,1:44:10 PM,1:44:10 PM,,,15.2,,,,,,,,,,TERMINAL JAKABARING,3:15:10 PM,3:15:10 PM,,,,,,,,,,,,,TERMINAL JAKABARING,4:34:05 PM,4:34:05 PM,,,,,,,,,,
1,PLN A,6:11:24 AM,,24.6,45.7,5.8,2.83,6:10:24 AM,70.40,6:07:13 AM,67.22,6:32:47 AM,92.78,,1,PLN A,7:44:14 AM,,25.6,40.7,5.8,2.83,7:44:20 AM,164.33,7:41:52 AM,161.87,8:06:59 AM,186.98,,1,PLN A,9:14:17 AM,,28.8,45.5,7.3,2.83,9:14:54 AM,254.90,9:12:44 AM,252.73,9:32:16 AM,272.26,,1,PLN A,10:40:11 AM,,32.5,46.1,7.4,2.83,10:40:10 AM,340.17,10:38:38 AM,338.63,10:57:54 AM,357.90,,1,PLN A,12:18:42 PM,,29.6,55.1,14.2,2.83,12:18:44 PM,438.74,12:16:05 PM,436.08,12:24:57 PM,444.96,,1,PLN A,1:49:34 PM,,25.6,40.7,11.2,2.83,1:50:48 PM,530.80,1:48:20 PM,528.34,1:59:20 PM,539.33,,1,PLN A,3:20:20 PM,,31.6,50.8,9.2,2.83,3:20:32 PM,620.54,3:18:31 PM,618.51,3:33:37 PM,633.62,,1,PLN A,4:39:40 PM,,35.4,45.8,8.4,2.83,4:38:53 PM,698.88,4:37:47 PM,697.79,4:54:18 PM,714.30
2,BANK SUMSEL BABEL B,6:12:04 AM,,42.2,43.2,6.7,0.75,6:12:28 AM,72.47,6:12:27 AM,72.44,6:18:07 AM,78.12,,2,BANK SUMSEL BABEL B,7:46:01 AM,,35,41.4,5.8,0.75,7:45:31 AM,165.52,7:45:19 AM,165.32,7:52:00 AM,171.99,,2,BANK SUMSEL BABEL B,9:15:52 AM,,32.9,42.3,10.8,0.75,9:15:39 AM,255.65,9:15:21 AM,255.35,9:18:27 AM,258.45,,2,BANK SUMSEL BABEL B,10:41:42 AM,,34.6,43.5,12.4,0.75,10:41:29 AM,341.48,10:41:13 AM,341.22,10:43:49 AM,343.81,,2,BANK SUMSEL BABEL B,12:20:18 PM,,40.5,47.5,16.8,0.75,12:19:49 PM,439.81,12:19:39 PM,439.65,12:21:23 PM,441.38,,2,BANK SUMSEL BABEL B,1:51:12 PM,,35,41.4,6.7,0.75,1:50:51 PM,530.85,1:50:39 PM,530.65,1:56:17 PM,536.28,,2,BANK SUMSEL BABEL B,3:22:20 PM,,31.7,37.4,11.3,0.75,3:21:45 PM,621.75,3:21:32 PM,621.54,3:24:19 PM,624.32,,2,BANK SUMSEL BABEL B,4:41:25 PM,,31.6,44.3,11.8,0.75,4:41:05 PM,701.09,4:40:41 PM,700.68,4:43:29 PM,703.48
3,GOR JAKABARING,6:13:03 AM,,35,42.8,4.9,0.37,6:12:42 AM,72.70,6:12:35 AM,72.59,6:16:36 AM,76.60,,3,GOR JAKABARING,7:42:02 AM,,27.7,35.6,4.9,0.37,7:46:49 AM,166.82,7:46:38 AM,166.64,7:50:33 AM,170.55,,3,GOR JAKABARING,9:16:43 AM,,27.7,41.4,6.5,0.37,9:16:40 AM,256.67,9:16:24 AM,256.40,9:19:17 AM,259.28,,3,GOR JAKABARING,10:42:34 AM,,31.4,41.7,10.5,0.37,10:42:24 AM,342.41,10:42:14 AM,342.23,10:43:49 AM,343.81,,3,GOR JAKABARING,12:21:15 PM,,26.8,34.9,11.1,0.37,12:21:08 PM,441.13,12:20:56 PM,440.94,12:22:18 PM,442.30,,3,GOR JAKABARING,1:52:10 PM,,27.7,35.6,7.4,0.37,1:52:00 PM,532.00,1:51:49 PM,531.82,1:54:12 PM,534.20,,3,GOR JAKABARING,3:23:40 PM,,21.5,39.2,6.2,0.37,3:23:22 PM,623.37,3:22:54 PM,622.90,3:25:55 PM,625.91,,3,GOR JAKABARING,4:42:20 PM,,31.4,42.1,12.3,0.37,4:42:07 PM,702.12,4:41:57 PM,701.94,4:43:13 PM,703.22
4,STASIUN JAKABARING,6:15:52 AM,,30.1,42.8,3.9,0.31,6:13:40 AM,73.67,6:13:29 AM,73.48,6:17:49 AM,77.82,,4,STASIUN JAKABARING,7:47:53 AM,,27.7,36.7,3.9,0.31,7:42:42 AM,162.70,7:42:32 AM,162.54,7:46:48 AM,166.80,,4,STASIUN JAKABARING,9:17:34 AM,,32.2,45.9,7.2,0.31,9:17:18 AM,257.29,9:17:07 AM,257.12,9:19:18 AM,259.30,,4,STASIUN JAKABARING,10:43:22 AM,,33.7,46.5,8.8,0.31,10:43:07 AM,343.12,10:42:58 AM,342.97,10:44:41 AM,344.68,,4,STASIUN JAKABARING,12:22:01 PM,,30,36.4,13.5,0.31,12:21:52 PM,441.87,12:21:46 PM,441.76,12:22:38 PM,442.63,,4,STASIUN JAKABARING,1:52:55 PM,,27.7,36.7,3.9,0.31,1:52:50 PM,532.84,1:52:40 PM,532.67,1:56:56 PM,536.94,,4,STASIUN JAKABARING,3:24:33 PM,,28.0,35.6,13.8,0.31,3:24:20 PM,624.33,3:24:11 PM,624.19,3:25:01 PM,625.01,,4,STASIUN JAKABARING,4:43:18 PM,,34.3,46.3,7.7,0.31,4:42:53 PM,702.88,4:42:44 PM,702.74,4:44:45 PM,704.75
5,DJKA,6:17:02 AM,,37.6,45.4,5.6,1.05,6:17:33 AM,77.54,6:17:15 AM,77.25,6:27:07 AM,87.12,,5,DJKA,7:49:48 AM,,37.3,43.9,5.6,1.05,7:49:34 AM,169.57,7:49:19 AM,169.32,7:59:08 AM,179.13,,5,DJKA,9:19:26 AM,,33.4,46.1,5.1,1.05,9:19:27 AM,259.45,9:18:56 AM,258.93,9:29:55 AM,269.92,,5,DJKA,10:45:10 AM,,38.2,48,7,1.05,10:45:01 AM,345.02,10:44:41 AM,344.68,10:52:22 AM,352.37,,5,DJKA,12:23:57 PM,,41.9,53.3,8.9,1.05,12:23:31 PM,443.52,12:23:12 PM,443.20,12:29:06 PM,449.10,,5,DJKA,1:54:45 PM,,37.3,43.9,8.5,1.05,1:54:36 PM,534.61,1:54:21 PM,534.35,2:00:20 PM,540.33,,5,DJKA,3:26:32 PM,,33.1,42.8,13.0,1.05,3:26:27 PM,626.45,3:26:01 PM,626.02,3:29:24 PM,629.40,,5,DJKA,4:45:18 PM,,37.3,46.9,9.8,1.05,4:44:59 PM,704.99,4:44:39 PM,704.64,4:49:44 PM,709.73
6,DEPO DJKA,6:19:59 AM,,29.5,38.2,4.8,1,6:19:04 AM,79.07,6:18:36 AM,78.60,6:29:32 AM,89.53,,6,DEPO DJKA,7:52:12 AM,,26.2,40.3,4.8,1,7:52:05 AM,172.09,7:51:17 AM,171.29,8:02:18 AM,182.30,,6,DEPO DJKA,9:21:33 AM,,30,41.7,5.9,1,9:21:26 AM,261.43,9:20:52 AM,260.87,9:29:36 AM,269.60,,6,DEPO DJKA,10:47:24 AM,,22.6,37.1,9.3,1,10:47:49 AM,347.82,10:46:47 AM,346.78,10:51:37 AM,351.62,,6,DEPO DJKA,12:26:49 PM,,22.5,38.2,13.1,1,12:26:37 PM,446.62,12:25:31 PM,445.52,12:28:32 PM,448.53,,6,DEPO DJKA,1:57:23 PM,,26.2,40.3,3.7,1,1:57:02 PM,537.04,1:56:14 PM,536.24,2:10:58 PM,550.97,,6,DEPO DJKA,3:29:25 PM,,21.0,32.4,6.9,1,3:29:23 PM,629.39,3:28:23 PM,628.39,3:35:14 PM,635.23,,6,DEPO DJKA,4:48:27 PM,,26.1,37.6,6.5,1,4:47:36 PM,707.60,4:46:54 PM,706.90,4:54:32 PM,714.53
7,SIMPANG TEGAL BINANGUN,6:20:50 AM,,24.6,40,8.9,0.36,6:20:52 AM,80.86,6:20:31 AM,80.52,6:22:25 AM,82.41,,7,SIMPANG TEGAL BINANGUN,7:53:31 AM,,21.1,39.6,8.9,0.36,7:53:13 AM,173.22,7:52:45 AM,172.75,7:54:38 AM,174.63,,7,SIMPANG TEGAL BINANGUN,9:22:45 AM,,26.5,40.3,6.9,0.36,9:22:22 AM,262.37,9:22:05 AM,262.09,9:24:41 AM,264.68,,7,SIMPANG TEGAL BINANGUN,10:48:13 AM,,24.9,34.2,6.3,0.36,10:48:16 AM,348.27,10:48:02 AM,348.03,10:50:50 AM,350.83,,7,SIMPANG TEGAL BINANGUN,12:28:04 PM,,20.9,43.6,10.2,0.36,12:27:51 PM,447.85,12:27:19 PM,447.31,12:28:56 PM,448.93,,7,SIMPANG TEGAL BINANGUN,1:58:50 PM,,21.1,39.6,9.6,0.36,1:58:24 PM,538.41,1:57:56 PM,537.93,1:59:38 PM,539.63,,7,SIMPANG TEGAL BINANGUN,3:30:55 PM,,15.0,31.0,12.5,0.36,3:30:51 PM,630.86,3:30:07 PM,630.11,3:31:09 PM,631.14,,7,SIMPANG TEGAL BINANGUN,4:50:19 PM,,24.3,33.6,4.9,0.36,4:49:20 PM,709.34,4:49:06 PM,709.09,4:52:51 PM,712.86
