,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ritasi ke - 1,,,,,,,,,,,,,,,Ritasi ke - 2,,,,,,,,,,,,,,,Ritasi ke - 3,,,,,,,,,,,,,,,Ritasi ke - 4,,,,,,,,,,,,,,,,Ritasi ke - 5,,,,,,,,,,,,,,,Ritasi ke - 6,,,,,,,,,,,,,,,Ritasi ke - 7,,,,,,,,,,,,,,,Ritasi ke - 8,,,,,,,,,,,,
No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min
,TERMINAL JAKABARING,6:23:15 AM,6:23:15 AM,,,,,,,,,,,,,TERMINAL JAKABARING,7:58:20 AM,7:58:20 AM,,,,,,,,,,,,,TERMINAL JAKABARING,9:29:56 AM,9:29:56 AM,,,,,,,,,,,,,TERMINAL JAKABARING,11:02:19 AM,11:02:19 AM,,,,,,,,,,,,,,TERMINAL JAKABARING,12:35:52 PM,12:35:52 PM,,,,,,,,,,,,,TERMINAL JAKABARING,2:07:25 PM,2:07:25 PM,,,,,,,,,,,,,TERMINAL JAKABARING,3:34:30 PM,3:34:30 PM,,,,,,,,,,,,,TERMINAL JAKABARING,4:52:00 PM,4:52:00 PM,,,,,,,,,,
1,PLN A,6:27:09 AM,,35.5,49.0,20.2,2.35,6:27:13 AM,87.22,6:26:08 AM,86.13,6:30:14 AM,90.23,,1,PLN A,8:04:03 AM,,26.9,45.8,23.4,2.87,8:04:44 AM,184.73,8:02:06 AM,182.09,8:05:42 AM,185.69,,1,PLN A,9:33:38 AM,,31,46.8,25.2,2.88,9:35:30 AM,275.51,9:33:38 AM,273.63,9:36:47 AM,276.79,,1,PLN A,11:07:53 AM,,36.8,38.4,29.5,2.97,11:07:10 AM,367.16,11:06:57 AM,366.96,11:08:21 AM,368.36,,,1,PLN A,12:41:47 PM,,29.3,42.1,27.4,2.75,12:41:30 PM,461.50,12:39:47 PM,459.79,12:41:53 PM,461.89,,1,PLN A,2:12:54 PM,,31.4,42.8,25.2,2.77,2:12:43 PM,552.71,2:11:18 PM,551.30,2:14:01 PM,554.01,,1,PLN A,3:40:33 PM,,42.6,44.1,33.2,2.72,3:38:20 PM,638.33,3:38:12 PM,638.20,3:39:25 PM,639.42,,1,PLN A,4:57:52 PM,,28.6,32.4,26.2,2.84,4:57:57 PM,717.96,4:57:16 PM,717.26,4:58:30 PM,718.50
2,BANK SUMSEL BABEL B,6:29:32 AM,,37.1,49.7,31.6,0.87,6:28:33 AM,88.56,6:28:12 AM,88.20,6:28:48 AM,88.80,,2,BANK SUMSEL BABEL B,8:06:28 AM,,37.5,47.2,24.2,0.93,8:05:32 AM,185.54,8:05:14 AM,185.23,8:06:21 AM,186.36,,2,BANK SUMSEL BABEL B,9:36:54 AM,,38.9,45.4,24.7,0.93,9:35:04 AM,275.07,9:34:52 AM,274.86,9:35:54 AM,275.89,,2,BANK SUMSEL BABEL B,11:09:29 AM,,26.9,29.8,21.1,0.91,11:09:55 AM,369.91,11:09:43 AM,369.72,11:10:28 AM,370.47,,,2,BANK SUMSEL BABEL B,12:44:35 PM,,29,38.5,27.1,0.91,12:43:40 PM,463.67,12:43:12 PM,463.20,12:43:48 PM,463.80,,2,BANK SUMSEL BABEL B,2:14:39 PM,,41.3,43.6,24.7,1.05,2:14:26 PM,554.43,2:14:21 PM,554.34,2:15:27 PM,555.45,,2,BANK SUMSEL BABEL B,3:42:25 PM,,34.9,38.3,32.1,0.95,3:42:11 PM,642.18,3:42:02 PM,642.04,3:42:20 PM,642.33,,2,BANK SUMSEL BABEL B,4:59:35 PM,,37.4,40.8,34.1,0.94,4:59:22 PM,719.37,4:59:15 PM,719.25,4:59:31 PM,719.52
3,GOR JAKABARING,6:30:10 AM,,31.3,45.0,29.2,0.4,6:30:18 AM,90.30,6:30:04 AM,90.07,6:30:21 AM,90.36,,3,GOR JAKABARING,8:07:08 AM,,27.2,42.1,16.1,0.35,8:07:14 AM,187.24,8:06:58 AM,186.97,8:07:46 AM,187.77,,3,GOR JAKABARING,9:37:50 AM,,29.6,43.9,19.5,0.37,9:37:39 AM,277.65,9:37:24 AM,277.41,9:38:02 AM,278.04,,3,GOR JAKABARING,11:10:26 AM,,29.1,34.6,26.3,0.36,11:10:14 AM,370.23,11:10:06 AM,370.11,11:10:18 AM,370.30,,,3,GOR JAKABARING,12:45:42 PM,,24.2,35.6,21.3,0.39,12:45:33 PM,465.55,12:45:14 PM,465.24,12:45:41 PM,465.68,,3,GOR JAKABARING,2:15:30 PM,,42.1,31,19.5,0.37,2:15:11 PM,555.18,2:15:22 PM,555.37,2:15:47 PM,555.79,,3,GOR JAKABARING,3:43:29 PM,,27.8,30.7,25.4,0.39,3:43:16 PM,643.26,3:43:11 PM,643.18,3:43:20 PM,643.34,,3,GOR JAKABARING,5:00:31 PM,,28.9,32.7,25.3,0.37,5:00:21 PM,720.35,5:00:16 PM,720.26,5:00:28 PM,720.46
4,STASIUN JAKABARING,6:30:57 AM,,31.0,42.5,23.4,0.32,6:30:47 AM,90.79,6:30:37 AM,90.62,6:30:59 AM,90.99,,4,STASIUN JAKABARING,8:07:58 AM,,27.5,37.8,11.4,0.32,8:07:50 AM,187.83,8:07:38 AM,187.64,8:08:49 AM,188.82,,4,STASIUN JAKABARING,9:38:49 AM,,28.5,43.6,14.3,0.38,9:38:38 AM,278.63,9:38:21 AM,278.36,9:39:26 AM,279.43,,4,STASIUN JAKABARING,11:11:20 AM,,37.6,42.7,34.8,0.38,11:11:02 AM,371.04,11:10:58 AM,370.97,11:11:05 AM,371.09,,,4,STASIUN JAKABARING,12:46:42 PM,,25.9,33.1,23,0.35,12:46:31 PM,466.51,12:46:20 PM,466.33,12:46:37 PM,466.61,,4,STASIUN JAKABARING,2:16:18 PM,,37.2,35.9,14.3,0.38,2:16:07 PM,556.11,2:16:08 PM,556.14,2:17:06 PM,557.09,,4,STASIUN JAKABARING,3:44:26 PM,,26.7,28.2,23.4,0.33,3:44:13 PM,644.22,3:44:11 PM,644.19,3:44:20 PM,644.33,,4,STASIUN JAKABARING,5:01:25 PM,,28,32.6,26.5,0.34,5:01:15 PM,721.25,5:01:09 PM,721.14,5:01:17 PM,721.29
5,DJKA,6:32:48 AM,,37.1,46.1,29.5,1.03,6:32:37 AM,92.62,6:32:17 AM,92.29,6:33:03 AM,93.04,,5,DJKA,8:09:41 AM,,37.6,46.8,35.5,1.04,8:09:38 AM,189.63,8:09:18 AM,189.30,8:09:43 AM,189.72,,5,DJKA,9:40:38 AM,,38.7,51.5,28.7,1.06,9:40:28 AM,280.46,9:40:03 AM,280.05,9:41:02 AM,281.03,,5,DJKA,11:13:05 AM,,32.4,37.5,29.6,0.98,11:13:09 AM,373.15,11:12:54 AM,372.90,11:13:19 AM,373.32,,,5,DJKA,12:48:44 PM,,35.3,41,33.8,1.06,12:48:30 PM,468.50,12:48:15 PM,468.25,12:48:35 PM,468.58,,5,DJKA,2:18:22 PM,,32.4,42.8,28.7,1.05,2:18:15 PM,558.24,2:17:46 PM,557.77,2:18:30 PM,558.50,,5,DJKA,3:46:33 PM,,33.6,35.5,29.6,1.06,3:46:20 PM,646.33,3:46:13 PM,646.22,3:46:35 PM,646.58,,5,DJKA,5:03:18 PM,,38.1,42.8,33.2,1.06,5:03:05 PM,723.09,5:02:54 PM,722.90,5:03:20 PM,723.33
6,DEPO DJKA,6:34:22 AM,,34.9,42.8,29.7,1.01,6:34:32 AM,94.54,6:34:13 AM,94.22,6:34:50 AM,94.84,,6,DEPO DJKA,8:11:23 AM,,25.7,36.0 ,21.8,0.98,8:11:58 AM,191.97,8:11:19 AM,191.32,8:12:23 AM,192.38,,6,DEPO DJKA,9:42:40 AM,,31.1,42.8,16.9,1.01,9:42:35 AM,282.58,9:42:03 AM,282.05,9:44:13 AM,284.22,,6,DEPO DJKA,11:15:20 AM,,28.9,38.2,24.7,1.06,11:15:17 AM,375.28,11:14:45 AM,374.75,11:15:39 AM,375.66,,,6,DEPO DJKA,12:51:08 PM,,27.3,35.6,24.2,0.98,12:50:53 PM,470.89,12:50:23 PM,470.39,12:51:10 PM,471.16,,6,DEPO DJKA,2:20:56 PM,,32.3,33.5,16.9,1.04,2:20:18 PM,560.30,2:20:14 PM,560.23,2:22:04 PM,562.06,,6,DEPO DJKA,3:50:13 PM,,21.4,23.6,18.5,1.04,3:49:28 PM,649.47,3:49:12 PM,649.19,3:49:55 PM,649.92,,6,DEPO DJKA,5:07:02 PM,,17.7,22.3,15.4,0.98,5:06:37 PM,726.62,5:05:56 PM,725.94,5:07:07 PM,727.12
7,SIMPANG TEGAL BINANGUN,6:35:29 AM,,22.4,33.5,18.6,0.37,6:35:21 AM,95.36,6:35:02 AM,95.03,6:35:34 AM,95.56,,7,SIMPANG TEGAL BINANGUN,8:13:41 AM,,18.7,41.0 ,9.7,0.38,8:12:36 AM,192.60,8:11:56 AM,191.94,8:13:44 AM,193.73,,7,SIMPANG TEGAL BINANGUN,9:43:55 AM,,18.7,34.9,28.6,0.37,9:43:51 AM,283.85,9:43:18 AM,283.30,9:43:27 AM,283.44,,7,SIMPANG TEGAL BINANGUN,11:16:22 AM,,33.2,35.7,30.4,0.37,11:16:00 AM,376.00,11:15:57 AM,375.96,11:16:04 AM,376.06,,,7,SIMPANG TEGAL BINANGUN,12:52:23 PM,,20,32.8,18.7,0.36,12:52:13 PM,472.21,12:51:48 PM,471.79,12:52:17 PM,472.29,,7,SIMPANG TEGAL BINANGUN,2:22:04 PM,,38.9,38.9,28.6,1.51,2:23:16 PM,563.26,2:23:16 PM,563.26,2:24:06 PM,564.10,,7,SIMPANG TEGAL BINANGUN,3:51:46 PM,,16.1,19.7,13.8,0.37,3:51:36 PM,651.60,3:51:21 PM,651.34,3:51:50 PM,651.83,,7,SIMPANG TEGAL BINANGUN,5:08:17 PM,,19.7,23.6,17.2,0.37,5:08:10 PM,728.16,5:07:58 PM,727.97,5:08:19 PM,728.32
